 NA. No. LeaseWarehouse District LaiLong longtitude Area Fee Closest_point Closest_distance House_Price Distance_from_center
162 1621 3563 （出租）良乡房山良乡长周路附近仓库450平米 Fangshan 39.6848814 116.0991815 450 0.296296296296 20742 0.787271930519 44895.0 34.2021663069
163 1729 3760 （出租）昌平马池口仓库出租,近昌流路,可居住可办公 Changping 40.182996 116.168654 336 0.297619047619 14853 2.45742860649 36782.0 28.1587967619
164 153 1575 （出租）出租朝阳豆各庄仓库 Chaoyang 39.873046 116.572557 14000 0.3 2993 0.423927107482 47356.0 20.3062502083
165 180 1982 （出租）出租通州宋庄仓库厂房 Tongzhou 39.940709 116.72745 11000 0.3 12073 1.88339682017 59738.0 37.4937952083
166 195 642 （出租）出租朝阳朝阳周边仓库 Chaoyang 40.22066 116.231204 10000 0.3 14988 0.186985330228 53368.0 23.5004870642
167 228 604 （出租）出租昌平小汤山仓库 Changping 40.177325 116.399907 10000 0.3 14969 0.250602394761 12758.0 13.377239201
168 302 3835 （出租）出租通州台湖镇仓库 Tongzhou 39.832044 116.652091 6600 0.3 13400 0.309934190054 32403.0 29.3184554363
170 638 3662 （出租）出租昌平百善仓库 Changping 40.16724 116.320368 2500 0.3 15343 0.430131112749 41819.0 15.0110158465
171 652 2864 （出租）出租大兴黄村仓库 Daxing 39.6382562 116.2887962 2400 0.3 17249 3.1605649303 30538.0 17.4525831522
172 753 2657 （出租）出租大兴亦庄仓库 Daxing 39.800164 116.481905 2000 0.3 18775 0.243735095049 54191.0 11.4609288899
173 856 3501 （出租）出租仓库低价出租 Changping 40.148307 116.288739 1500 0.3 16261 0.37481883973 27465.0 16.4125706925
174 858 3615 （出租）出租通州漷县仓库 Tongzhou 39.77976 116.793715 1500 0.3 13227 0.926103257832 30584.0 45.2746473696
176 1291 4682 （出租）适合服装厂加工厂 Daxing 39.726929 116.341395 750 0.3 17014 0.0509211734925 34075.0 10.4619769153
178 1688 3892 （出租）出租顺义杨镇仓库 Shunyi 40.153427 116.830932 360 0.3 19711 0.722373867896 22917.0 50.4726214718
179 1738 1126 （出租）出租通州梨园仓库 Tongzhou 39.832044 116.652091 310 0.3 13400 0.309934190054 32403.0 29.3184554363
181 99 1123 （出租）【4毛起】京南物流基地业主直租库房南六环京开大庄桥 Daxing 39.696489 116.319069 19999 0.3 17216 0.231616037828 32880.0 13.1057133134
182 113 262 （出租）京津冀强强联合天津宝坻区新厂房18000平米出租 Tongzhou 39.909946 116.656435 18000 0.3 12758 0.0788754084736 67210.0 29.561215717
183 220 568 （出租）出租昌平地下常温库10000平米可分租 Changping 40.246675 116.135011 10000 0.3 15333 0.258675988604 26456.0 32.9556719334
184 221 372 （出租）【优质厂房】通州区漷县工业区优质厂房10000平米 Tongzhou 39.77976 116.793715 10000 0.3 13227 0.926103257832 30584.0 45.2746473696
185 226 4139 （出租）T马驹桥10000㎡库房出租有办公个人可做主 Tongzhou 39.749173 116.561185 10000 0.3 13514 0.181782479408 37114.0 20.5297057555
186 271 1860 （出租）出租昌平南口仓库常温地下库8000平米可分租 Changping 40.246675 116.135011 8000 0.3 15333 0.258675988604 26456.0 32.9556719334
187 321 3012 （出租）个人厂房6000平米顺义杨镇高12米 Shunyi 40.199887 116.728714 6000 0.3 19897 0.840816000463 33139.0 40.3099777977
189 501 1409 （出租）0.3元黄村魏南璐芦求路占地6亩库房3400平 Daxing 39.72773 116.340251 3400 0.3 17014 0.172368073173 34075.0 10.4954098644
190 532 1329 （出租）3毛出租张家湾牛堡屯3000平米仓库路宽可进大车 Tongzhou 39.85824 116.7204372 3000 0.3 12696 1.75080352447 43117.0 36.7594232128
191 549 3150 （出租）3毛出租张家湾牛堡屯仓库紧邻漷马路可进大车 Tongzhou 39.858341 116.72043 3000 0.3 12696 1.74698838549 43117.0 36.7582900812
